Info:,,,True Turnout,,"159,544,854",Number of voters used,"160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Dem Senator,Rep Senator,Number of Voters,Electoral Votes,Number of Districts,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP,District Number,Number of Voters,Dem Rep,Rep Rep,% DEM,% REP
North Carolina,Cal Cunningham,Thom Tillis,5561,15,13,1,349,G.K. Butterfield,Sandy Smith,0.542,0.458,2,496,Deborah Ross,Alan Swain,0.63,0.348,3,363,Daryl Farrow,Greg Murphy,0.366,0.634,4,495,David Price,Robert Thomas,0.673,0.327,5,386,David Brown,Virginia Foxx,0.311,0.669,6,408,Kathy Manning ,Lee Haywood,0.623,0.377,7,452,Christopher Ward,David Rouzer,0.397,0.603,8,381,Patricia Timmons-Goodson,Richard Hudson,0.467,0.533,9,405,Cynthia Wallace ,Dan Bishop,0.444,0.556,10,413,David Parker,Patrick McHenry,0.311,0.689,11,451,Moe Davis,Madison Cawthorn,0.423,0.545,12,342,Alma Adams,NONE,1,0,13,392,Scott Huffman,Ted Budd,0.318,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,NONE,NONE,365,3,1,1,356,Zach Raknerud,Kelly Armstrong,0.276,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,NONE,NONE,5991,18,16,1,386,Kate Schroder,Steve Chabot,0.446,0.518,2,378,Jaime Castle,Brad Wenstrup,0.389,0.611,3,321,Joyce Beatty,Mark Richardson,0.708,0.292,4,348,Shannon Freshour,Jim Jordan,0.293,0.679,5,379,Nick Rubando,Bob Latta ,0.32,0.68,6,335,Shawna Roberts,Bill Johnson,0.256,0.744,7,351,Quentin Potter,Bob Gibbs,0.292,0.675,8,358,Vanessa Enoch,Warren Davidson,0.31,0.69,9,302,Marcy Kaptur,Rob Weber,0.631,0.369,10,365,Desiree Tims,Mike Turner,0.416,0.584,11,303,Marcia Fudge,Laverne Gore,0.801,0.199,12,438,Alaina Shearer,Troy Balderson,0.418,0.552,13,331,Tim Ryan,Christina Hagan ,0.525,0.449,14,398,Hillary O'Conner Mueri,David Joyce,0.399,0.601,15,384,Joel Newby,Steve Stivers,0.366,0.634,16,392,Aaron Godfrey,Anthony Gonzalez,0.368,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Abby Broyles,Jim Inhofe,1569,7,5,1,336,Kojo Asamoa-Caesar,Kevin Hern,0.327,0.637,2,289,Danyell Lanier,Markwayne Mullin,0.22,0.75,3,310,Zoe Midyett,Frank Lucas,0.215,0.785,4,315,Mary Brannon,Tom Cole,0.288,0.678,5,304,Kendra Horn,Stephanie Bice,0.479,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,Jeff Merkley,Jo Rae Perkins,2420,7,5,1,460,Suzanne Bonamici,Christopher Christensen,0.647,0.353,2,458,Alex Spenser,Cliff Bentz,0.37,0.599,3,471,Earl Blumenauer,Joanna Harbour,0.731,0.235,4,468,Peter DeFazio,Alek Skarlatos,0.516,0.463,5,453,Kurt Schrader,Amy Ryan Courser,0.52,0.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,NONE,NONE,6969,20,18,1,442,Christina Finello,Brian Fitzpatrick,0.434,0.566,2,273,Brendan Boyle,David Torres,0.725,0.275,3,376,Dwight Evans,Michael Harvey,0.91,0.09,4,445,Madeleine Dean,Kathy Barnette,0.595,0.405,5,396,Mary Gay Scanlon,Dasha Pruett,0.647,0.353,6,405,Chrissy Houlahan,John Emmons,0.561,0.439,7,378,Susan Wild,Lisa Scheller,0.519,0.481,8,345,Matt Cartwright,Jim Bognet,0.518,0.482,9,352,Gary Wegman ,Dan Meuser,0.337,0.663,10,392,Eugene DePasquale,Scott Perry,0.467,0.533,11,384,Sarah Hammond,Lloyd Smucker,0.369,0.631,12,340,Lee Griffin,Fred Keller,0.292,0.708,13,365,Todd Rowley,John Joyce,0.265,0.735,14,374,Guy Reschenthaler,Bill Marx,0.353,0.647,15,348,Robert Williams,Glenn Thompson,0.265,0.735,16,354,Kristy Gnibus,Mike Kelley,0.407,0.593,17,435,Conor Lamb,Sean Parnell,0.511,0.489,18,385,Mike Doyle,Luke Negron,0.692,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,John Reed,Allen Waters,526,4,2,1,222,David Cicilline,Frederick Wysocki,0.713,0.159,2,264,James Langevin,Robert Lancia,0.584,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,Jaime Harrison,Lindsey Graham,2540,9,7,1,427,Joe Cunningham,Nancy Mace,0.494,0.506,2,365,Adair Boroughs,Joe Wilson,0.426,0.557,3,334,Hosea Cleveland,Jeff Duncan,0.287,0.713,4,361,Kim Nelson,William Timmons,0.369,0.617,5,367,Moe Brown,Ralph Norman,0.399,0.601,6,290,Jim Clyburn,John McCollum,0.308,0.682,7,364,Melissa Watson,Tom Rice,0.382,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Dan Ahlers,Mike Rounds,428,3,1,1,398,Randy Luallin,Dusty Johnson,0.19,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,Marquita Bradshaw,Bill Hagerty,3073,11,9,1,306,Blair Walsingham,Diana Harshbarger,0.225,0.747,2,354,Renee Hoyos,Tim Burchett,0.311,0.676,3,321,Meg Gorman,Chuck Fleischmann,0.305,0.673,4,336,Christopher Hale,Scott DesJarlais,0.333,0.667,5,252,Jim Cooper,NONE,1,0,6,350,Christopher Finley,John Rose,0.24,0.737,7,351,Kiran Sreepada,Mark Green,0.273,0.699,8,332,Erika Pearson,David Kustoff,0.295,0.685,9,243,Steve Cohen,Charlotte Bergmann,0.774,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ,Mary Hegar,John Cornyn,11175,38,36,1,303,Hank Gilbert,Louie Gohmert,0.274,0.726,2,347,Sima Ladjevardian,Dan Crenshaw,0.428,0.556,3,419,Lulu Seikaly,Van Taylor,0.429,0.551,4,337,Russell Foster,Pat Fallon,0.227,0.754,5,281,Carolyn Salter,Lance Gooden,0.359,0.62,6,340,Stephen Daniel,Ron Wright,0.44,0.528,7,315,Lizzie Fletcher,Wesley Hunt,0.508,0.475,8,383,Elizabeth Hernandez,Kevin Brady,0.255,0.725,9,229,Al Green,Johnny Teague,0.755,0.216,10,415,Mike Seigel,Michael McCaul,0.453,0.525,11,292,Jon Hogg,August Pfluger,0.183,0.797,12,368,Lisa Welch,Kay Granger,0.33,0.637,13,274,Gus Trujillo,Ronny Jackson,0.185,0.794,14,309,Adrienne Bell,Randy Weber,0.384,0.616,15,229,Vicente Gonzalez,Monica De La Cruz-Hernandez,0.505,0.476,16,238,Veronica Escobar,Irene Armendariz-Jackson,0.647,0.353,17,307,Rick Kennedy,Pete Sessions,0.409,0.559,18,247,Sheila Jackson Lee,Wendell Champion,0.733,0.235,19,265,Tom Watson,Jodey Arrington,0.229,0.748,20,271,Joaquin Castro,Mauro Garza,0.331,0.647,21,455,Wendy Davis,Chip Roy,0.454,0.52,22,409,Sri Kulkarni,Troy Nehls,0.446,0.515,23,296,Gina Ortiz Jones,Tony Gonzales,0.466,0.506,24,345,Candace Valenzuela,Beth van Duyne,0.475,0.488,25,394,Julie Oliver,Roger Williams,0.421,0.559,26,433,Carol Iannuzzi,Michael Burgess,0.373,0.606,27,274,Ricardo De La Fuente,Michael Cloud,0.349,0.631,28,236,Henry Cuellar,Sandra Whitten,0.39,0.583,29,156,Sylvia Garcia,Jaimy Blanco,0.711,0.274,30,265,Eddie Johnson,Tre Pennie,0.775,0.184,31,399,Donna Imam,John Carter,0.443,0.535,32,344,Colin Allred,Genevieve Collins,0.519,0.459,33,158,Marc Veasey,Fabian Vasquez,0.668,0.252,34,199,Filemon Vela,Rey Gonzalez,0.554,0.418,35,270,Lloyd Doggett,Jenny Sharon,0.654,0.299,36,303,Rashad Lewis,Brian Babin,0.243,0.736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,NONE,NONE,1520,6,4,1,343,Darren Parry,Blake Moore,0.304,0.696,2,355,Kael Weston,Chris Stewart,0.366,0.59,3,359,Devin Thorpe,John Curtis,0.268,0.688,4,377,Ben McAdams,Burgess Owens,0.467,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,NONE,NONE,372,3,1,1,355,Peter Welch,Miriam Berry,0.674,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Mark Warner,Daniel Gade,4536,13,11,1,448,Qasim Rashid,Robert Wittman,0.418,0.582,2,360,Elaine Luria,Scott Taylor,0.459,0.516,3,341,Bobby Scott,John Collick,0.685,0.315,4,391,Donald McEachin,Leon Benjamin,0.617,0.383,5,402,Cameron Webb,Robert Good,0.474,0.526,6,382,Nicholas Betts,Ben Cline,0.353,0.647,7,454,Abigail Spanberger,Nick Freitas,0.509,0.491,8,397,Donald Beyer,Jeff Jordan,0.76,0.24,9,290,NONE,H. Morgan Griffith,0,0.94,10,476,Jennifer Wexton,Aliscia Andrews,0.566,0.434,11,393,Gerry Connolly,Manga Anantatmula,0.716,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,NONE,NONE,4128,12,10,1,472,Suzan DelBene,Jeffrey Beeler,0.586,0.414,2,404,Rick Larsen,Timothy Hazelo,0.632,0.368,3,418,Carolyn Long,Jaime Herrera Beutler,0.435,0.565,4,305,Douglass McKinley,Dan Newhouse,0.337,0.663,5,404,Dave Wilson,Cathy McMorris Rodgers,0.386,0.614,6,417,Derek Kilmer,Elizabeth Kreiselmaier,0.594,0.406,7,466,Pramila Jayapal,Craig Keller,0.832,0.168,8,412,Kim Schrier,Jesse Jensen,0.518,0.482,9,349,Adam Smith,Doug Basler,0.743,0.257,10,289,Marilyn Strickland,Beth Dglio,0.581,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Paula Jean Swearengin ,Shelley Moore Capito,805,5,3,1,262,Natalie Cline ,David McKinley,0.31,0.69,2,273,Cathy Kunkel,Alex Mooney,0.369,0.631,3,227,Hilary Turner,Carol Miller,0.287,0.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,NONE,NONE,3319,10,8,1,402,Roger Polack,Bryan Steil,0.406,0.594,2,458,Mark Pocan,Peter Theron,0.697,0.303,3,390,Ron Knd,Derrick Van Orden,0.513,0.487,4,312,Gwen Moore,Tim Rogers,0.747,0.227,5,442,Tom Palzewicz,Scott Fitzgerald,0.399,0.601,6,404,Jessica King,Glenn Grothman,0.407,0.593,7,415,Tricia Zunker,Tom Tiffany,0.392,0.608,8,418,Amanda Stuck,Mike Gallagher,0.358,0.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,Merav Ben-David,Cynthia Lummis,279,3,1,1,271,Lynnette Grey Bull,Liz Cheney,0.246,0.687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
